industry_code,industry_name
80811300,"Commercial machinery repair and maintenance"
80811400,"Household goods repair and maintenance"
80812000,"Personal and laundry services"
80812100,"Personal care services"
80812110,"Hair, nail, and skin care services"
80812112,"Barber shops and beauty salons"
80812113,"Nail salons"
80812190,"Other personal care services"
80812200,"Death care services"
80812210,"Funeral homes and funeral services"
80812220,"Cemeteries and crematories"
80812300,"Drycleaning and laundry services"
80812310,"Coin-operated laundries and drycleaners"
80812320,"Drycleaning and laundry services, except coin-operated"
80812330,"Linen and uniform supply"
80812331,"Linen supply"
80812332,"Industrial launderers"
80812900,"Other personal services"
80812910,"Pet care services, except veterinary"
80812930,"Parking lots and garages"
80812990,"All other personal services, including photofinishing"
80813000,"Membership associations and organizations"
80813200,"Grantmaking and giving services"
80813211,"Grantmaking foundations"
80813212,"Voluntary health organizations"
80813219,"Other grantmaking and giving services"
80813300,"Social advocacy organizations"
80813311,"Human rights organizations"
80813319,"Environment, conservation, and other social advocacy organizations"
80813400,"Civic and social organizations"
80813900,"Professional and similar organizations"
80813910,"Business associations"
80813920,"Professional organizations"
80813930,"Labor unions and similar labor organizations"
80813990,"Miscellaneous professional and similar organizations"
90000000,"Government"
90910000,"Federal"
90911000,"Federal, except U.S. Postal Service"
90916220,"Federal hospitals"
90919110,"Department of Defense"
90919120,"U.S. Postal Service"
90919999,"Other Federal government"
90920000,"State government"
90921611,"State government education"
90922000,"State government, excluding education"
90922622,"State hospitals"
90922920,"State government general administration"
90922999,"Other State government"
90930000,"Local government"
90931611,"Local government education"
90932000,"Local government, excluding education"
90932221,"Local government utilities"
90932480,"Local government transportation"
90932622,"Local hospitals"
90932920,"Local government general administration"
90932999,"Other local government"
